uuid	text
03bf497c-ad87-425a-b66a-aef2002249d3	Describe the concept of compression.
07e22df5-9b35-43c1-b429-7eaf3b8d37fd	Compare types of media for data transmission.
08a67fc3-4eb8-47d4-aef9-3321d4ea59c3	Explain the primary objectives of data warehouses in data management and business intelligence.
0a34db04-b1dc-4832-b008-62bb24d829e3	Use truth tables to demonstrate De Morgan's Laws
0a4e161d-21b5-40ac-ab6b-278a0db5892e	Explain the properties and purpose of ADTs in programming.
0aa34ee4-eeea-4bc6-8eac-c447ec442bed	Construct code to perform file-processing operations.
0b4ccd1c-067d-4548-893a-6bf01b00c791	Construct and trace algorithms to implement a linear search and a binary search for data retrieval.
0ca28b1c-326a-4bc7-990b-8e8640cb5e0f	Construct and use common debugging techniques.
0f3e0393-5d4d-4ef2-848e-5b8957f5e8d8	Construct and trace recursive algorithms in a programming language. (HL only)
11c046d8-c217-4f5d-9205-673538d47c1c	Compare and contrast networking models.
136e5e5e-cdf1-45f0-ba01-0685fd6208b2	Explain the fundamental concept of recursion and its applications in programming. (HL only)
13c1bb73-671b-45e6-be5d-d704db70c8a3	Explain how packet switching is used to send data across a network.
13fb542e-80c2-46cc-bec2-e5a45cd9dff7	Describe the role of a GPU.
17f29286-82a7-42ca-8a43-331b68db1d4b	Construct programs that implement the correct sequence of code instructions to meet program objectives.
1829b521-4715-4101-83f9-320aa9e127c8	Describe common network countermeasures. (HL only)
19b65586-ca9e-4ebd-a9e3-9ce822478bb9	Explain the role of hyperparameter tuning when evaluating supervised learning algorithms.
1a886b5e-d6e6-4b34-9871-55731f558ade	Describe how programs use common exception handling techniques.
1ab43281-5561-459c-8b97-e5b3ca5e1a27	Explain how SQL can be used to update data in a database.
1fd1554e-2ba7-4c26-8b84-708cd606c216	Describe why multi-core CPUs can do more in the same amount of time than single-core CPUs.
263cabce-9d1a-47ef-805f-bfb1e5209940	Build a truth table for a boolean expression
27b09852-5644-4d84-b8c8-e66b0d670990	Describe different types of IP addressing.
291af902-b085-4354-a1ab-68966b704dec	Outline the differences between data language types within SQL.
29851497-50d9-48f8-bc0b-80392e4f2095	Describe the purpose and use of logic gates.
2e9d642a-b23c-4120-b52a-d5018def8dde	Explain the concept of abstraction in OOP.
2ea0fd3d-450c-4ed7-bd35-dbd5a0aa04c2	Describe the notional instruction register (IR)
2ed7bb94-1514-425e-953f-7e7a6a7144ea	Describe the application of genetic algorithms in various real-world situations.
3178dfde-f005-48e4-b74b-df281da998b1	Explain the three busses that connect the CPU and RAM.
3a5566c3-789c-46ba-a3ad-480d0456fba0	Describe the hardware requirements for various scenarios where machine learning is deployed.
3ab18c7d-1327-4033-b76a-f660f942507e	Describe the different types of services in cloud computing.
3f6583d2-a69d-45e6-b2cc-dfe67c018208	Build a truth table from a logic circuit diagram
424487e8-81bb-49cf-af2a-d393756d6d84	Compare different approaches to scheduling.
473555ab-933e-485c-95f9-206cdb079b59	Distinguish between static and non-static variables and methods.
489337f1-e898-4a05-9fd4-0136c18cb70f	Explain the concept of a queue as a “first in, first out” (FIFO) data structure.
48e4ad5e-b374-47f5-817d-1352ea1d016d	Construct and trace programs using a range of global and local variables of various data types.
4a28eec8-effd-4c53-974b-5e5db3bfb75b	Construct a design of classes, their methods and behaviour.
4a5237f4-83a5-4619-ba45-e5d7899da085	Explain how linear regression is used to predict continuous outcomes.
4adde00c-b7f0-4942-9b81-46549cadd692	Describe how CNNs are designed to adaptively learn spatial hierarchies of features in images.
4e4a256f-d60a-4c8b-87a4-32fefeeb573e	Describe the functions and interactions of the main CPU components.
50086808-9eb0-41fe-89f0-0b13c03097bd	Describe the significance of data cleaning.
5305fe1d-fa30-44cb-b299-fd4dc4342dbc	Construct a problem specification.
5323d2d6-7e88-47ef-a05f-f545a0ab74d2	Explain commonly used design patterns in OOP.
554c0742-1cb7-4ab0-b5be-06b7832d0954	Construct and analyse truth tables.
573f7be5-e3fc-4fdd-af26-2533ed00f8e9	Describe the role of operating systems.
5a2b4a0f-d870-4ff9-83fc-12478766328b	Describe the role of feature selection.
5a315a4b-167a-4d7c-8e1e-c13fd1576269	Describe how clustering techniques in unsupervised learning are used to group data based on similarities in features.
5c6f3092-e737-4945-859f-4381bc1d1197	Evaluate the fundamentals of OOP.
5dd0f564-d0f7-406d-a0f3-8efad01dfd05	Evaluate the translation processes of interpreters and compilers.
5eb6f4c7-43cb-48ed-8bf3-b7be02374367	Build an n-bit Grey code
5ffc611f-bab7-4c2a-87df-14a9582aab3a	Explain the structures and properties of BSTs.
6198a79c-ae2e-4e06-bb42-b28057c6463f	Describe how transactions maintain data integrity in a database. (HL only)
62b5cc42-02ff-4696-9503-c9c8085fa252	Construct code to define classes and instantiate objects.
6487d29b-c8b3-40dc-a98c-1f0cd209990b	Construct functions and modularization.
6532bfff-2274-40a8-8e13-9a7e7c72bf1f	Explain the features, benefits and limitations of a relational database.
65990ea0-bfb9-4fcd-9cd8-1e7c15663e22	Describe the function of servers. (HL only)
666bb656-cab7-46b0-a118-9e9295224be0	Explain how applying computational thinking to fundamental concepts is used to approach and solve problems in computer science.
66d58271-4cf2-4603-9f65-70d692620ea4	Describe the notional memory address register (MAR)
66d6e483-ea7d-4adc-8b74-48d3403ecdcb	Explain the concept of a stack as a “last in, first out” (LIFO) data structure.
6a8069a7-5db5-4909-9e5f-d93639453e62	Evaluate the use of polling and interrupt handling.
6b48317f-a8c6-4e89-8538-fd993c5ae793	Construct ERDs.
